iter	Passed	Remaining
945	59133	3375
946	59195	3312
947	59254	3250
948	59309	3187
949	59380	3125
950	59444	3062
951	59504	3000
952	59565	2937
953	59631	2875
954	59703	2813
955	59783	2751
956	59852	2689
957	59920	2626
958	59987	2564
959	60050	2502
960	60127	2440
961	60198	2377
962	60264	2315
963	60330	2253
964	60400	2190
965	60468	2128
966	60533	2065
967	60607	2003
968	60677	1941
969	60746	1878
970	60815	1816
971	60882	1753
972	60948	1691
973	61007	1628
974	61072	1565
975	61144	1503
976	61207	1440
977	61274	1378
978	61338	1315
979	61427	1253
980	61497	1191
981	61559	1128
982	61629	1065
983	61690	1003
984	61759	940
985	61832	877
986	61892	815
987	61962	752
988	62017	689
989	62088	627
990	62161	564
991	62236	501
992	62301	439
993	62359	376
994	62428	313
995	62494	250
996	62570	188
997	62627	125
998	62703	62
999	62774	0
